2026-03-04 10:12:51.583 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:50.578 [1] [GlobalScript::Init]  ====================================================V4.4.0 GlobalScript Start Print Log====================================================

2026-03-04 10:12:55.660 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:55.618 [3] [GlobalManager::objLoadDefaultScriptTime_Elapsed] Load default globalScript begin

2026-03-04 10:12:55.661 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:55.629 [3] [UserGlobalScriptManger::compileGlobalScript] Compile begin

2026-03-04 10:12:56.664 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:55.897 [3] [UserGlobalScriptSupport::CompileCode] 2026-03-04 10:12:55:897 : Compile complete -- 0 Errors, 0 Warnings 


2026-03-04 10:12:56.666 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:56.034 [3] [UserGlobalScriptManger::updateBackFile] Update BackFile end

2026-03-04 10:12:56.666 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:56.034 [3] [UserGlobalScriptManger::compileGlobalScript] Compile end

2026-03-04 10:12:56.666 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:56.034 [3] [GlobalManager::objLoadDefaultScriptTime_Elapsed] Load default globalScript end

2026-03-04 10:12:57.668 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:57.462 [25] [GlobalManager::HandleCmd] Receive:CloseScript

2026-03-04 10:12:57.668 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:57.467 [25] [GlobalManager::HandleCmd] Receive end:CloseScript

2026-03-04 10:12:58.669 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:57.990 [25] [GlobalManager::HandleCmd] Receive:LoadSolution

2026-03-04 10:12:58.669 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:58.056 [25] [UserGlobalScriptManger::readScriptDataFromMapFile] Load IsDefaultContent:[True]

2026-03-04 10:12:58.669 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:58.056 [25] [GlobalManager::HandleCmd] Receive end:LoadSolution

2026-03-04 10:12:58.669 INFO  [9] [VM.GlobalScript.LogHelper+<>c::<.cctor>b__8_0@0] ProcessID-3908-,2026-03-04 10:12:58.059 [6] [UserGlobalScriptManger::compileGlobalScript] Compile begin

