2026-03-04 10:12:50.486 INFO  [27072] [CLogManager::LogInit@108] [Init] [Begin]======================================== V5.0.0 Build May 29 2025 19:10:47 Start Print Log ========================================

2026-03-04 10:12:50.519 INFO  [27072] [CLogManager::AtomicIncrement@148] [Init] Atomic count[1]

2026-03-04 10:12:50.519 INFO  [27072] [ClientManager::CClientManagerRefactor::Init@45] [Init] Start.

2026-03-04 10:12:50.519 INFO  [27072] [CommandManager::CServerCommandManager::Init@26] [Init] Start.

2026-03-04 10:12:50.519 INFO  [27072] [CommandRouting::CCommandRoutingDll::Init@34] [Init] Start.

2026-03-04 10:12:50.519 INFO  [27072] [CommunicationDll::CCommunicationDllScript::Init@33] [Init] Start.

2026-03-04 10:12:50.519 INFO  [27072] [CommunicationDll::CCommunicationDllScript::LoadLib@86] [Init] Start.

2026-03-04 10:12:50.519 INFO  [27072] [CommunicationDll::CCommunicationDllScript::LoadLib@105] [Init] Load lib. Path = [F:\apps\VM5.0\VisionMaster5.0.0\Applications\PublicFile\x64/../../GlobalScript/GlobalScript.dll]

2026-03-04 10:12:50.519 INFO  [26464] [DoStartServerApp@6509] Begin

2026-03-04 10:12:50.519 INFO  [26464] [ClientManager::CClientManagerRefactor::StartAndRegisterServerApp@6576] Server app path[F:\apps\VM5.0\VisionMaster5.0.0\Applications\ServerApp\vServerApp.exe]

2026-03-04 10:12:50.520 INFO  [27072] [CommunicationDll::CCommunicationDllScript::LoadLib@134] [Init] End.

2026-03-04 10:12:50.520 INFO  [27072] [CommunicationDll::CCommunicationDllScript::InitLib@164] [Init] Start.

2026-03-04 10:12:50.527 INFO  [26464] [ClientManager::CClientManagerRefactor::StartAndRegisterServerApp@6582] Need start server app

2026-03-04 10:12:50.527 INFO  [26464] [ClientManager::CClientManagerRefactor::StartServerApp@6690] [Init] Start serverApp process[F:\apps\VM5.0\VisionMaster5.0.0\Applications\ServerApp\vServerApp.exe]

2026-03-04 10:12:50.544 INFO  [26464] [ClientManager::CClientManagerRefactor::StartServerApp@6706] [Init] The serverApp pid[13720].

2026-03-04 10:12:50.544 ERROR [26464] [ClientManager::CClientManagerRefactor::RegisterOnServerApp@6747] Can't find vServerApp, errMsg[0]. i[0].

2026-03-04 10:12:50.609 INFO  [27072] [CommunicationDll::CCommunicationDllScript::InitLib@176] [Init] InitLib m_fnInit success.

2026-03-04 10:12:50.609 INFO  [27072] [CommunicationDll::CCommunicationDllScript::InitLib@192] [Init] End.

2026-03-04 10:12:50.609 INFO  [27072] [CommunicationDll::CCommunicationDllScript::Init@40] [Init] End.

2026-03-04 10:12:50.609 INFO  [27072] [CommunicationDll::CCommunicationDllServer::Init@35] [Init] Start.

2026-03-04 10:12:50.609 INFO  [27072] [CommunicationDll::CCommunicationDllServer::LoadLib@93] [Init] Start.

2026-03-04 10:12:50.609 INFO  [27072] [CommunicationDll::CCommunicationDllServer::LoadLib@112] [Init] Load lib. Path = [F:\apps\VM5.0\VisionMaster5.0.0\Applications\PublicFile\x64/../../Server/PlatformManager.dll]

2026-03-04 10:12:50.618 INFO  [27072] [CommunicationDll::CCommunicationDllServer::LoadLib@152] [Init] End.

2026-03-04 10:12:50.618 INFO  [27072] [CommunicationDll::CCommunicationDllServer::InitLib@188] [Init] Start.

2026-03-04 10:12:51.072 INFO  [26464] [ClientManager::CClientManagerRefactor::RegisterOnServerApp@6735] RegisterOnServerApp success i[1].

2026-03-04 10:12:51.336 INFO  [27072] [CommunicationDll::CCommunicationDllServer::InitLib@200] [Init] InitLib m_fnInit success.

2026-03-04 10:12:51.336 INFO  [27072] [CommunicationDll::CCommunicationDllServer::InitLib@216] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CommunicationDll::CCommunicationDllServer::Init@47] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CommunicationDll::CCommunicationDllServer::SetGlobalScriptCallback@336] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CommunicationDll::CCommunicationDllServer::SetGlobalScriptCallback@344] End.

2026-03-04 10:12:51.336 INFO  [27072] [CommandRouting::CCommandRoutingDll::Init@73] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CommandManager::CServerCommandManager::Init@261] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CommandManager::CProxyCommandManager::Init@17] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CommandRouting::CCommandRoutingDll::Init@34] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CommunicationDll::CCommunicationDllProxy::Init@39] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CommunicationDll::CCommunicationDllProxy::LoadLib@98] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CommunicationDll::CCommunicationDllProxy::LoadLib@117] [Init] Load lib. Path = [F:\apps\VM5.0\VisionMaster5.0.0\Applications\PublicFile\x64/../../ModuleProxy/x64/ModuleProxy.dll]

2026-03-04 10:12:51.336 INFO  [27072] [CommunicationDll::CCommunicationDllProxy::LoadLib@139] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CommunicationDll::CCommunicationDllProxy::Init@52] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CommandRouting::CCommandRoutingDll::Init@73] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CommandManager::CProxyCommandManager::Init@118] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::CServerMsgCallbackManager::Init@13] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::ICallbackManager::Init@14] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Init@10] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Init@19] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::ICallbackManager::Init@90] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::CServerMsgCallbackManager::Init@43] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [HeartbeatManager::CServerHeartbeatManager::Init@34] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [HeartbeatManager::CServerHeartbeatManager::Connect@156] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [HeartbeatManager::CServerHeartbeatManager::Connect@236] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [HeartbeatManager::CServerHeartbeatManager::Init@107] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::CProxyResCallbackManager::Init@15] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::ICallbackManager::Init@14] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Init@10] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackRouting::CCallbackRoutingDll::Init@19] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::ICallbackManager::Init@90] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [ModuResManager::IModuResManager::Init@10] [Init] Start.

2026-03-04 10:12:51.336 INFO  [27072] [ModuResManager::IModuResManager::Init@32] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::CProxyResCallbackManager::Init@117] [Init] End.

2026-03-04 10:12:51.336 INFO  [27072] [CallbackManager::CProxyReportCallbackManager::Init@11] [Init] Start.

